Profiles,LogLik,AIC,BIC,Entropy,Model_Name,Converged,Minimum_Profile_Percent,Any_Profile_Smaller_Than_5_Percent,Entropy_Eligible,Profile_Size_Eligible,BIC_Rank,AIC_Rank,Reviewer_Eligibility
1,-293180.87893998995,586701.7578799799,587968.6164758402,NA,XXX,TRUE,100,FALSE,TRUE,TRUE,6,6,Baseline one-profile solution
2,-291760.1096860761,583896.2193721522,585297.215936986,0.7864199888696236,EEE,TRUE,36.757,FALSE,TRUE,TRUE,5,5,Eligible: entropy >= .70 and all profiles >= 5%
3,-289250.5646948964,578913.1293897928,580448.2639236,0.9308017533717734,EEE,TRUE,15.116,FALSE,TRUE,TRUE,4,4,Eligible: entropy >= .70 and all profiles >= 5%
4,-288408.21317636105,577264.4263527221,578933.6988555028,0.8404287585484675,EEE,TRUE,15.116,FALSE,TRUE,TRUE,2,2,Eligible: entropy >= .70 and all profiles >= 5%
5,-288593.18845666986,577670.3769133397,579473.7873850937,0.6513640793515321,EEE,TRUE,15.116,FALSE,FALSE,TRUE,3,3,Caution: entropy < .70
6,-287313.50903242803,575147.0180648561,577084.5665055836,0.7551994560106893,EEE,TRUE,5.238,FALSE,TRUE,TRUE,1,1,Eligible: entropy >= .70 and all profiles >= 5%
